Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
L_35_1	Extraction		sylilation	L_35_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_35_1	FILES/L_35_1.cdf	Data transformation	L_35_1		Metabolite identification	L_35_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_36_1	Extraction		sylilation	L_36_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_36_1	FILES/L_36_1.cdf	Data transformation	L_36_1		Metabolite identification	L_36_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_37_1	Extraction		sylilation	L_37_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_37_1	FILES/L_37_1.cdf	Data transformation	L_37_1		Metabolite identification	L_37_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_38_1	Extraction		sylilation	L_38_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_38_1	FILES/L_38_1.cdf	Data transformation	L_38_1		Metabolite identification	L_38_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_39_1	Extraction		sylilation	L_39_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_39_1	FILES/L_39_1.cdf	Data transformation	L_39_1		Metabolite identification	L_39_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_40_1	Extraction		sylilation	L_40_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_40_1	FILES/L_40_1.cdf	Data transformation	L_40_1		Metabolite identification	L_40_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_42_1	Extraction		sylilation	L_42_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_42_1	FILES/L_42_1.cdf	Data transformation	L_42_1		Metabolite identification	L_42_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_44_1	Extraction		sylilation	L_44_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_44_1	FILES/L_44_1.cdf	Data transformation	L_44_1		Metabolite identification	L_44_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_45_1	Extraction		sylilation	L_45_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_45_1	FILES/L_45_1.cdf	Data transformation	L_45_1		Metabolite identification	L_45_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_46_1	Extraction		sylilation	L_46_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_46_1	FILES/L_46_1.cdf	Data transformation	L_46_1		Metabolite identification	L_46_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_47_1	Extraction		sylilation	L_47_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_47_1	FILES/L_47_1.cdf	Data transformation	L_47_1		Metabolite identification	L_47_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
L_48_1	Extraction		sylilation	L_48_1	Chromatography	Agilent 6890N GC			CTC Analytics Combi PAL autosampler			Rtx-5Sil MS (0.25 µm, 0.25 mm x 30 m; Restek)	low polarity					Mass spectrometry	positive	60-800	LECO Pegasus III			electron ionization	MS		time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L_48_1	FILES/L_48_1.cdf	Data transformation	L_48_1		Metabolite identification	L_48_1	m_MTBLS40_gc0001_metabolite_profiling_mass_spectrometry_v2_maf.tsv
